Amount of sentences,Average length of sentence
3,52.0
6,15.666666666666666
8,25.5
7,25.285714285714285
5,32.0
9,16.88888888888889
7,56.285714285714285
21,18.19047619047619
3,47.666666666666664
6,30.166666666666668
3,58.666666666666664
4,45.5
4,34.0
29,27.689655172413794
4,15.25
4,41.75
6,39.166666666666664
4,52.25
23,29.91304347826087
16,38.375
27,28.814814814814813
2,32.5
24,15.5
4,44.75
18,25.333333333333332
4,44.0
6,29.666666666666668
15,37.4
10,29.4
4,45.25
9,34.77777777777778
16,28.875
6,30.833333333333332
5,37.0
4,48.25
10,24.9
4,49.5
44,18.863636363636363
7,31.0
5,32.8
4,40.5
5,27.2
6,21.5
7,30.714285714285715
15,26.6
7,37.714285714285715
5,33.4
12,15.666666666666666
7,44.142857142857146
15,18.533333333333335
10,17.4
9,29.22222222222222
26,29.46153846153846
25,16.24
6,29.0
17,23.647058823529413
10,32.3
5,30.6
7,25.428571428571427
6,21.833333333333332
17,8.941176470588236
23,26.608695652173914
5,32.6
8,21.875
9,25.444444444444443
15,16.466666666666665
17,13.235294117647058
6,17.666666666666668
35,20.62857142857143
4,42.25
5,35.8
39,41.46153846153846
13,13.23076923076923
4,43.0
4,66.5
7,26.571428571428573
6,28.333333333333332
2,43.0
37,22.2972972972973
5,17.8
4,36.25
12,46.75
10,24.1
3,48.666666666666664
7,23.0
2,33.5
10,22.1
3,56.0
18,38.44444444444444
7,11.0
5,35.6
3,50.666666666666664
4,34.5
6,26.333333333333332
30,32.833333333333336
8,34.375
19,16.105263157894736
6,32.0
9,17.77777777777778
5,34.8
4,42.5
4,44.5
8,27.875
3,60.666666666666664
6,28.333333333333332
5,33.8
5,54.4
5,34.0
24,17.375
5,35.4
6,31.0
19,13.894736842105264
6,21.333333333333332
9,25.555555555555557
5,32.0
7,24.857142857142858
5,35.4
42,30.357142857142858
5,36.8
3,55.0
4,43.75
7,24.714285714285715
3,62.666666666666664
26,8.461538461538462
4,35.25
3,59.333333333333336
3,55.0
10,21.2
7,16.571428571428573
6,28.833333333333332
6,28.666666666666668
4,36.0
6,19.833333333333332
5,36.0
4,39.75
4,40.0
6,17.833333333333332
7,25.714285714285715
38,29.789473684210527
4,37.5
12,23.416666666666668
4,47.5
4,45.75
38,30.026315789473685
11,21.272727272727273
5,18.4
14,22.071428571428573
10,31.6
4,42.75
6,31.666666666666668
6,29.666666666666668
23,24.26086956521739
2,52.0
3,57.333333333333336
5,37.2
4,45.5
16,16.125
5,40.4
3,60.0
11,19.727272727272727
5,48.8
5,39.8
9,18.666666666666668
6,27.0
6,30.166666666666668
18,14.722222222222221
8,25.125
13,21.384615384615383
4,44.5
6,14.666666666666666
5,37.4
3,60.666666666666664
4,44.0
4,45.75
5,35.8
24,47.083333333333336
6,28.333333333333332
6,22.5
18,14.222222222222221
5,37.0
7,24.142857142857142
5,35.2
5,35.6
18,18.77777777777778
5,29.2
27,15.296296296296296
8,22.625
4,44.75
5,34.2
14,15.285714285714286
5,33.6
3,41.333333333333336
6,29.5
15,14.933333333333334
11,27.454545454545453
2,31.5
6,30.833333333333332
11,16.727272727272727
10,19.3
17,23.823529411764707
12,21.0
23,14.130434782608695
16,14.375
5,33.6
31,21.258064516129032
9,29.444444444444443
15,22.666666666666668
5,37.0
6,37.0
6,11.5
3,56.0
2,70.0
5,16.6
3,61.0
8,41.5
8,23.0
3,62.0
5,37.0
6,31.833333333333332
7,55.857142857142854
9,20.88888888888889
20,25.95
5,32.6
6,29.333333333333332
5,36.4
20,30.45
9,41.22222222222222
6,36.666666666666664
13,19.23076923076923
5,40.4
5,34.6
5,32.0
8,17.5
10,41.0
3,54.333333333333336
6,23.5
25,17.36
3,61.0
23,19.82608695652174
4,30.75
13,32.07692307692308
7,46.142857142857146
4,44.25
4,41.0
18,20.0
6,22.0
4,43.25
27,20.14814814814815
11,28.181818181818183
8,23.375
6,29.666666666666668
7,25.142857142857142
20,23.65
11,18.363636363636363
25,15.16
5,37.6
